timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
928000,2.21,33.61,36021
929000,2.05,31.42,36054
930000,1.95,30.39,36085
931000,2.19,33.39,36113
932000,2.24,33.58,36143
933000,2.33,34.98,36172
934000,2.24,33.33,36202
935000,2.28,34.59,36231
936000,2.18,33.58,36261
937000,1.99,31.14,36296
938000,2.1,32.45,36326
939000,2.16,32.64,36351
940000,2.36,35.11,36381
941000,2.4,35.91,36408
942000,2.18,33.47,36440
943000,2.16,33.56,36470
944000,2.2,34.18,36498
945000,2.13,33.84,36525
946000,2.29,35.42,36553
947000,2.27,34.7,36584
948000,2.31,35.1,36613
949000,2.23,34.31,36640
950000,2.16,33.07,36674
951000,2.1,32.29,36706
952000,1.88,29.42,36743
953000,1.81,28.71,36777
954000,1.92,29.84,36806
955000,2.06,31.57,36836
956000,2.07,31.87,36869
957000,2.12,33.01,36897
958000,2.15,33.76,36927
959000,2.18,34.02,36956
960000,2.24,34.39,36982
961000,2.21,33.6,37016
962000,2.22,33.67,37046
963000,2.01,31.16,37080
964000,2.09,32.32,37109
965000,2.0,31.03,37142
966000,2.0,31.65,37175
967000,1.99,31.24,37204
968000,2.23,33.96,37229
969000,2.33,35.33,37259
970000,2.42,36.32,37284
971000,2.36,35.94,37313
972000,2.39,36.57,37340
973000,2.37,35.73,37368
974000,2.26,34.31,37400
975000,2.46,36.13,37425
976000,2.4,35.96,37451
977000,2.48,36.97,37478
978000,2.36,36.03,37512
979000,2.16,33.63,37541
980000,2.09,32.23,37571
981000,2.09,31.89,37605
982000,1.89,29.56,37642
983000,1.99,31.01,37668
984000,2.09,32.43,37695
985000,2.3,34.81,37725
986000,2.51,37.2,37752
